target,feature_set,model,rows,projects,CV_MAE,CV_MAE_STD,CV_RMSE,CV_R2,CV_PROJECT_MAE,OOF_MAE,OOF_RMSE,OOF_R2,OOF_PROJECT_MAE
target_schedule_overrun_months,BASE_PLUS_TRAJECTORY,ExtraTrees,474,68,2.0709151935715804,0.9328404425914797,3.714127932679665,0.5432475415381023,1.8020196669892434,2.0723072502330506,4.0965278791026725,0.9452058647847864,1.7803010183779915
target_schedule_overrun_months,BASE_PLUS_TRAJECTORY,Ridge,474,68,2.1340254470951594,0.4252180284254462,3.4221873931521714,0.7406522659336612,1.8229665319059727,2.1347822041103126,3.5595512839966745,0.9586293107702372,1.8072655792038956
target_schedule_overrun_months,BASE_PLUS_TRAJECTORY,RandomForest,474,68,2.449017868545953,1.0861182046789208,4.596202633040809,0.18388759952613684,2.109762895141624,2.4497494766524297,5.236163859186821,0.9104782207869386,2.0761822094133513
target_schedule_overrun_months,BASE_PLUS_TRAJECTORY,GradientBoosting,474,68,2.630886966243634,1.0434874983930584,4.867114242382722,0.06707144668060105,2.32799723941835,2.6314175968176166,5.571132102271536,0.8986580724223627,2.2987607658604765
target_schedule_overrun_months,BASE,RandomForest,474,68,2.6215412323572904,1.3826738619037577,5.204295516211698,-0.2853492137416829,2.3399717645838187,2.622430879501027,6.266831304141441,0.8717674567480128,2.3000431437005084
target_schedule_overrun_months,BASE,GradientBoosting,474,68,2.6733629145976887,1.1804770188083713,5.06212420332533,-0.09383351951204293,2.42200639520635,2.67374943620573,5.938938875810807,0.8848351467687072,2.3928959832397454
target_schedule_overrun_months,BASE,ExtraTrees,474,68,2.5159584324767374,1.1929290868967632,4.775927501572909,0.13181753371392818,2.515090719113859,2.517923327822916,5.444860247111184,0.9031999187322519,2.4785166831529004
target_schedule_overrun_months,BASE,HistGradientBoosting,474,68,3.058606216748823,2.0082748259398473,6.623457987045394,-1.861889551765912,2.539886644813108,3.0596183763790736,8.968035175008476,0.7373987110279441,2.485960295389159
target_schedule_overrun_months,BASE_PLUS_TRAJECTORY,HistGradientBoosting,474,68,3.1305854312675545,1.9272819617196792,6.732043884702909,-1.8229753164402027,2.6211887780625593,3.131952059345473,8.927945741982365,0.7397412545567918,2.5666474845552227
target_schedule_overrun_months,BASE,Ridge,474,68,3.342365276228694,0.577341599658858,5.292802386147958,0.16274126494010072,3.36370385855282,3.3427346220045813,5.681604063302174,0.8945991341444324,3.3500659818968312
