project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-03-01,11.0,7.075334901854394,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-04-01,11.0,7.949127717235194,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-05-01,11.0,8.842622004923784,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-06-01,11.0,9.736116292612376,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-10-01,10.0,3.3350056906951293,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-11-01,1.0,4.228499978383719,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-12-01,10.0,5.121672707003721,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-01-01,10.0,6.008575033786248,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-02-01,10.0,6.81231863504423,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-03-01,13.0,7.697661849203017,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-04-01,13.0,8.550352086523391,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-05-01,13.0,9.44384637421198,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-06-01,13.0,10.337340661900571,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2025-12-01,5.0,34.69809082265918,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-01-01,5.0,35.59158511034778,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-02-01,5.0,36.48507939803637,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-03-01,5.0,37.34596939160575,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-04-01,5.0,38.19055723811552,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-05-01,5.0,39.0677493787445,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-06-01,5.0,39.95309259290329,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,24.0,20.182653880584027,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,24.0,22.177629196604926,1
N18000353,ER WR TRANSMISSION LIMITED,2024-08-01,0.0,1.43455169426118,1
N18000353,ER WR TRANSMISSION LIMITED,2024-11-01,0.0,1.9980197636542791,1
N18000353,ER WR TRANSMISSION LIMITED,2024-12-01,0.0,2.2733071571396373,1
N18000353,ER WR TRANSMISSION LIMITED,2025-01-01,0.0,2.516979886520101,1
N18000353,ER WR TRANSMISSION LIMITED,2025-02-01,0.0,1.6392090490537794,1
N18000353,ER WR TRANSMISSION LIMITED,2025-03-01,1.0,2.354084285053541,1
N18000353,ER WR TRANSMISSION LIMITED,2025-04-01,2.0,2.4805224687982084,1
N18000353,ER WR TRANSMISSION LIMITED,2025-05-01,3.0,2.4063588231243207,1
N18000353,ER WR TRANSMISSION LIMITED,2025-06-01,3.0,2.8253326484435357,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-08-01,0.0,-0.6683592462074817,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-09-01,0.0,-1.5658534546135048,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-11-01,0.0,-0.8173852730138913,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-12-01,0.0,-0.441096443337587,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2025-01-01,0.0,-0.04779792631745039,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-02-01,0.0,0.7940955230077815,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-03-01,0.0,1.4794176065323734,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-08-01,0.0,2.481370291196523,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-11-01,0.0,2.5843095739645907,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-12-01,0.0,3.0312303432786476,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-01-01,0.0,3.3771304563524813,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-02-01,2.0,3.8340848992939502,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-03-01,2.0,4.1911335386204644,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-04-01,4.0,5.016064389855067,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-05-01,4.0,5.403591171998613,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-06-01,5.0,5.621841515691203,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2024-11-01,0.0,-5.570084659983966,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART- B (JAISALMER/BARMER COMPLEX),2024-12-01,0.0,-4.849601644681648,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-01-01,0.0,-4.119128827589117,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-02-01,0.0,-3.4728111050920276,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-03-01,0.0,-2.5846055359982563,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-04-01,0.0,-2.0304518080509677,1
