project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-02-01,8.0,1.5625396999644936,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-03-01,11.0,1.7787048744004932,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-04-01,11.0,2.5519203961829984,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-05-01,11.0,5.090057033899931,1
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-06-01,11.0,5.346011662072152,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-10-01,10.0,1.5427509863873337,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-11-01,1.0,1.66002366542403,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2025-12-01,10.0,1.9593357687466977,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-01-01,10.0,1.9967672270133439,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-02-01,10.0,2.806513339763151,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-03-01,13.0,5.015085225146215,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-04-01,13.0,6.346178566171189,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-05-01,13.0,6.87430616432355,1
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-06-01,13.0,8.446239772146587,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2025-12-01,5.0,14.227448981758371,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-01-01,5.0,15.629850505585265,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-02-01,5.0,15.629850505585265,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-03-01,5.0,12.439482944880542,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-04-01,5.0,20.05632043517176,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-05-01,5.0,20.05632043517176,1
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-06-01,5.0,20.213777831269685,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,24.0,37.27552867948439,1
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,24.0,36.02477531860215,1
N18000353,ER WR TRANSMISSION LIMITED,2024-08-01,0.0,1.3193294102883844,1
N18000353,ER WR TRANSMISSION LIMITED,2024-11-01,0.0,-0.6354899060115355,1
N18000353,ER WR TRANSMISSION LIMITED,2024-12-01,0.0,1.0141138162839483,1
N18000353,ER WR TRANSMISSION LIMITED,2025-01-01,0.0,1.977102615751135,1
N18000353,ER WR TRANSMISSION LIMITED,2025-02-01,0.0,2.757220898413211,1
N18000353,ER WR TRANSMISSION LIMITED,2025-03-01,1.0,4.983015503066058,1
N18000353,ER WR TRANSMISSION LIMITED,2025-04-01,2.0,5.171893442353827,1
N18000353,ER WR TRANSMISSION LIMITED,2025-05-01,3.0,6.23284865833058,1
N18000353,ER WR TRANSMISSION LIMITED,2025-06-01,3.0,3.650792362922846,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-08-01,0.0,-0.21843185279266514,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2024-09-01,0.0,-0.8108593459517975,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-11-01,0.0,-2.6667175555625926,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2024-12-01,0.0,-0.3481652671721944,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,2025-01-01,0.0,0.16324276075874464,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-02-01,0.0,0.285087555591733,1
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-03-01,0.0,0.3494312446935039,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-08-01,0.0,-0.10111004885600128,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-11-01,0.0,-0.46799775264691895,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2024-12-01,0.0,-0.06146163143028637,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-01-01,0.0,1.529124591691523,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-02-01,2.0,2.3586950849740504,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-03-01,2.0,2.6568126937263323,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-04-01,4.0,3.8054324452477246,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-05-01,4.0,6.522115626351587,1
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-06-01,5.0,7.9584485811272,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2024-11-01,0.0,-0.06656187270176024,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART- B (JAISALMER/BARMER COMPLEX),2024-12-01,0.0,0.1441995647382946,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-01-01,0.0,-0.07382917310129226,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-02-01,0.0,0.39561778413276383,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-03-01,0.0,-0.3639431327741844,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-04-01,0.0,0.20055890218654296,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-05-01,0.0,0.3932384428493639,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-06-01,0.0,0.2684939284963605,1
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-07-01,4.0,-7.165046374097144,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-08-01,5.0,-3.7133812668706354,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-09-01,5.0,6.0718136364076525,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-10-01,7.0,6.415221742336046,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-07-01,6.0,7.890549436846068,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-08-01,6.0,7.811935547902099,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-09-01,11.0,8.325025016488514,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-10-01,11.0,8.14020426302228,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-11-01,11.0,4.708176947019286,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-12-01,11.0,4.402049868516584,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-02-01,13.0,11.283336052617216,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-03-01,13.0,8.888147365939343,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-07-01,8.0,6.135823340203652,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-08-01,8.0,4.107709173228337,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-09-01,8.0,1.5686365550512043,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-10-01,8.0,2.5472170089899775,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-11-01,8.0,2.2319983354913826,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-12-01,9.0,5.281743606266173,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2026-01-01,10.0,12.435664348377202,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-10-01,3.0,0.4163506168021939,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-11-01,3.0,0.8743713738131731,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-12-01,3.0,2.0419315480430926,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-01-01,3.0,2.329686999018282,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-02-01,3.0,3.072736255433624,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-03-01,6.0,3.0941928968791923,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-04-01,6.0,4.363520112448454,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-05-01,6.0,3.2061216536236934,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-06-01,6.0,0.37408176753136146,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-07-01,13.0,17.399479956908465,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-08-01,13.0,16.350736802881315,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-09-01,13.0,19.47163742543032,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-10-01,14.0,17.89839728059085,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-11-01,14.0,18.569034613377646,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-12-01,16.0,19.430966952632673,2
