project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag,max_cost_overrun,cost_risk,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,expenditure_progress_ratio
617179,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,2026-06-01,2024-07-01,07-2026,218.6,3.72,1.7,24,23,1,1.7017383348581887,Transmission_System,0.0,11.0,1,0,0.0,0,0.0017383348581887503,0,0.9583333333333334,0.017017383348581886,1.0010225499165817
617269,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,2026-06-01,2024-12-01,06-2026,212.81,9.98,11.17,18,18,0,4.689629246745923,Transmission_System,0.0,6.0,1,0,0.0,0,-6.480370753254077,0,1.0,0.04689629246745923,0.4198414724033951
617270,Eastern Region  Expansion Scheme-44 [ERES-44],2026-06-01,2024-11-01,05-2026,408.94,6.13,1.5,18,19,-1,1.4989974079327042,Transmission_System,0.0,13.0,1,0,0.0,0,-0.0010025920672958044,1,1.0555555555555556,0.014989974079327041,0.9993316052884694
617326,Implementation of Transmission Systems in the State of Jharkhand consisting of 400/220/132/33 kV transmission lines and substations under Jharkhand Consultancy Project,2026-06-01,2012-02-01,03-2026,1842.25,1648.05,96.3,169,172,-3,89.4585425430859,Substation_Grid_Equipment,0.0,5.0,1,0,0.0,0,-6.8414574569141,3,1.017751479289941,0.894585425430859,0.9289568280694278
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-06-01,2025-03-01,12-2026,581.74,17.45,6.0,21,15,6,2.9996218241826247,Substation_Grid_Equipment,0.0,6.0,1,0,0.0,0,-3.0003781758173753,0,0.7142857142857143,0.029996218241826248,0.49993697069710413
619029,Transmission System for Reliable Power Supply to Dholera,2026-06-01,2024-09-01,03-2026,319.42,63.88,31.0,18,21,-3,19.998747730261098,Transmission_System,0.0,9.0,1,0,0.0,0,-11.001252269738902,3,1.1666666666666667,0.199987477302611,0.6451208945245516
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-05-01,2023-03-01,11-2024,3546.94,3532.75,99.69,20,38,-18,99.59993684697233,Transmission_System,0.0,18.0,1,0,0.0,0,-0.0900631530276712,18,1.9,0.9959993684697233,0.9990965678299962
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,2024-11-01,2015-03-01,03-2018,197.4,162.89,98.0,36,116,-80,82.5177304964539,Other_Power_Transmission,0.0,81.0,1,0,0.0,0,-15.482269503546107,80,3.2222222222222223,0.8251773049645389,0.8420176581270805
N18000249,COMPREHENSIVE SCHEME FOR THE STRENGHTENING OF THE TRANSMISSION AND DISTRIBUTION SYSTEM IN A P,2025-06-01,2014-12-01,12-2018,4754.42,7602.44,81.7,48,126,-78,159.9025748671762,Other_Power_Transmission,92.0175331586187,,1,1,92.0175331586187,1,78.20257486717621,78,2.625,1.599025748671762,1.957191858839366
N18000250,NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT (NERPSIP) FOR SIX (6) STATES,2025-06-01,2014-12-01,12-2018,5111.33,5230.02,96.0,48,126,-78,102.32209620587987,Other_Power_Transmission,31.08134282075311,81.0,1,1,31.08134282075311,1,6.322096205879873,78,2.625,1.0232209620587986,1.0658551688112488
N18000300,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,2021-05-01,09-2022,1184.88,840.52,97.0,16,39,-23,70.93714131388832,Transmission_System,0.0,23.0,1,0,0.0,0,-26.06285868611168,23,2.4375,0.7093714131388832,0.7313107351947249
N18000306,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,2021-06-01,12-2022,1562.0,1292.25,99.0,18,41,-23,82.73047375160051,Transmission_System,0.0,24.0,1,0,0.0,0,-16.269526248399487,23,2.2777777777777777,0.8273047375160051,0.8356613510262678
