target,feature_set,model,rows,projects,CV_MAE,CV_MAE_STD,CV_RMSE,CV_R2,CV_PROJECT_MAE,OOF_MAE,OOF_RMSE,OOF_R2,OOF_PROJECT_MAE
target_cost_overrun_pct,BASE_PLUS_TRAJECTORY,RandomForest,493,69,1.690231977574177,1.6988804096099646,6.415120086983279,0.67499594349184,1.7366792003899776,1.683962363950206,7.659746800996572,0.8445207051671059,1.6872112847487777
target_cost_overrun_pct,BASE,RandomForest,493,69,1.7427600904159397,1.7931722353312314,6.458993880415463,0.6766949807212811,1.8003157519095265,1.7362685205488932,7.741165046311868,0.841197846207078,1.7493678880513297
target_cost_overrun_pct,BASE,GradientBoosting,493,69,2.1737445994285367,2.034436513706287,7.5934440061145,0.6418735763772524,1.857283534142907,2.1673819210136736,8.985927027626582,0.7860218101103726,1.7954353117944661
target_cost_overrun_pct,BASE_PLUS_TRAJECTORY,GradientBoosting,493,69,2.2955186593426045,1.9810888229701256,7.958401002879619,0.5854203652661158,1.9168941564738737,2.289558599076111,9.118891124988663,0.7796425209082876,1.8576950693701277
target_cost_overrun_pct,BASE_PLUS_TRAJECTORY,ExtraTrees,493,69,2.015021074637628,1.9397562763738165,6.1479228300291116,0.7362205793343818,1.9564229252493823,2.0078480855533667,7.339094169733271,0.8572655996111698,1.8991423964706882
target_cost_overrun_pct,BASE,ExtraTrees,493,69,2.1126713004612023,2.1070507177121063,6.32645403117038,0.7467270361217555,2.070696148739789,2.104826221333223,7.568301562696895,0.8482108981428471,2.00761023212398
target_cost_overrun_pct,BASE,HistGradientBoosting,493,69,3.347792982855369,3.091913693745217,9.753671022557793,0.3912910659504181,2.909695742494209,3.3387236031941225,10.8387487546562,0.6886835760891826,2.8140584568771243
target_cost_overrun_pct,BASE_PLUS_TRAJECTORY,HistGradientBoosting,493,69,3.369692894130832,2.992901528563803,9.726016289201322,0.36944205848071726,2.9173791478914195,3.360719439163025,10.674717784425674,0.6980350482114324,2.82576180749735
target_cost_overrun_pct,BASE_PLUS_TRAJECTORY,Ridge,493,69,6.517474867339584,1.6007283505673522,9.789835256299074,0.00922441442116917,6.082922901347695,6.51372157315298,10.23519651956531,0.7223893609856582,6.037365644748996
target_cost_overrun_pct,BASE,Ridge,493,69,6.975689174277316,2.2244414491466853,10.406185939604116,-0.05152998537963445,6.294377536713209,6.9723143428160315,11.197906744451043,0.6677098810546505,6.234142533079594
