feature,importance_mean,importance_std
cumulative_expenditure_cr,4.616119537704166,0.1682696769042246
expenditure_pct_of_original_cost,1.5672035105053956,0.0917967279732897
budget_consumption_ratio,1.4377870315968493,0.08212504492391365
expenditure_progress_gap,1.3915542362302076,0.08298337733593132
schedule_slippage_months,0.2967292632086083,0.018813589439103995
elapsed_months,0.2704900770103044,0.021476847271302713
months_to_original_target,0.2665126978309322,0.014031287453164724
original_cost_cr,0.08221229648242155,0.006269128433116862
expenditure_velocity,0.03459596573480905,0.014861466512241517
physical_progress_pct,0.023185880419954695,0.005162925226291132
progress_velocity,0.005430519894308661,0.004205164227134507
schedule_pressure_ratio,0.0005551367051863876,0.010781360383896378
planned_duration_months,3.399126380830842e-05,1.3995509343602296e-05
project_category,5.73312660412384e-07,4.681078270821687e-07
