project_code,project_name,snapshot_date,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,progress_velocity,expenditure_velocity,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,target_cost_overrun_pct,target_schedule_overrun_months
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-09-01,2820.99,2639.03,90.0,24,30,-6,93.54978216867129,Transmission_System,6.0,2.4381511455198392,3.549782168671286,6,1.25,0.9354978216867128,0.0,8.0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-10-01,2820.99,2736.36,93.0,24,31,-7,96.99998936543554,Transmission_System,3.0,3.4502071967642536,3.999989365435539,7,1.2916666666666667,0.9699998936543552,0.0,9.0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-11-01,2820.99,2783.19,95.0,24,32,-8,98.66004487786203,Transmission_System,2.0,1.6600555124264955,3.6600448778620343,8,1.3333333333333333,0.9866004487786204,0.0,9.0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,2025-12-01,2820.99,2783.19,98.0,24,33,-9,98.66004487786203,Transmission_System,3.0,0.0,0.6600448778620347,9,1.375,0.9866004487786204,0.0,10.0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-07-01,1433.28,1341.7,93.0,18,28,-10,93.6104599240902,Transmission_System,0.0,0.0,0.6104599240901933,10,1.5555555555555556,0.936104599240902,-0.0195356106273702,13.0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-08-01,1433.28,1359.63,95.0,18,29,-11,94.86143670462158,Transmission_System,2.0,1.2509767805313885,-0.1385632953784181,11,1.6111111111111112,0.9486143670462158,-0.0195356106273702,13.0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-09-01,1433.28,1390.01,97.0,18,30,-12,96.98105045769144,Transmission_System,2.0,2.1196137530698564,-0.0189495423085617,12,1.6666666666666667,0.9698105045769144,-0.0195356106273702,13.0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-10-01,1433.28,1418.67,98.0,18,31,-13,98.9806597454789,Transmission_System,1.0,1.9996092877874645,0.9806597454789028,13,1.7222222222222223,0.989806597454789,-0.0195356106273702,14.0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,2025-11-01,1433.28,1418.67,98.0,18,32,-14,98.9806597454789,Transmission_System,0.0,0.0,0.9806597454789028,14,1.7777777777777777,0.989806597454789,-0.0195356106273702,15.0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-07-01,966.79,894.76,95.0,21,28,-7,92.54957126159766,Substation_Grid_Equipment,0.0,0.0,-2.450428738402337,7,1.3333333333333333,0.9254957126159766,0.0,8.0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-08-01,966.79,904.52,95.0,21,29,-8,93.55909763237104,Substation_Grid_Equipment,0.0,1.0095263707733722,-1.440902367628965,8,1.380952380952381,0.9355909763237104,0.0,10.0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-09-01,966.79,911.97,96.0,21,30,-9,94.32968897071754,Substation_Grid_Equipment,1.0,0.770591338346506,-1.670311029282459,9,1.4285714285714286,0.9432968897071754,0.0,10.0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,2025-10-01,966.79,936.24,97.0,21,31,-10,96.84005833738456,Substation_Grid_Equipment,1.0,2.510369366667021,-0.1599416626154379,10,1.4761904761904765,0.9684005833738456,0.0,11.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-07-01,428.3,107.07,46.0,19,20,-1,24.998832593976186,Transmission_System,0.0,0.0,-21.001167406023814,1,1.0526315789473684,0.2499883259397618,0.0,3.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-08-01,428.3,179.89,51.0,19,21,-2,42.00093392481905,Transmission_System,5.0,17.002101330842866,-8.999066075180949,2,1.105263157894737,0.4200093392481905,0.0,6.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-09-01,428.3,205.58,54.0,19,22,-3,47.99906607518095,Transmission_System,3.0,5.998132150361897,-6.000933924819051,3,1.1578947368421053,0.4799906607518094,0.0,6.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-10-01,428.3,291.24,73.0,19,23,-4,67.99906607518095,Transmission_System,19.0,20.0,-5.000933924819051,4,1.2105263157894737,0.6799906607518095,0.0,9.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-11-01,428.3,308.38,80.0,19,24,-5,72.00093392481904,Transmission_System,7.0,4.001867849638089,-7.999066075180963,5,1.263157894736842,0.7200093392481903,0.0,9.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2025-12-01,428.3,334.08,82.0,19,25,-6,78.00140088722857,Transmission_System,2.0,6.000466962409533,-3.99859911277143,6,1.3157894736842106,0.7800140088722857,0.0,9.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-01-01,428.3,351.21,84.0,19,26,-7,82.00093392481904,Transmission_System,2.0,3.999533037590467,-1.9990660751809628,7,1.368421052631579,0.8200093392481904,0.0,9.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-02-01,428.3,372.62,89.0,19,27,-8,86.99976651879524,Transmission_System,5.0,4.9988325939762035,-2.0002334812047593,8,1.4210526315789471,0.8699976651879524,0.0,9.0
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-03-01,428.3,406.88,97.4,19,28,-9,94.99883259397618,Transmission_System,8.400000000000006,7.999066075180934,-2.4011674060238306,9,1.4736842105263157,0.9499883259397618,0.0,12.0
