project_code,project_name,state,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,progress_gap_pct,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Jammu and Kashmir,2025-07,02-2022,04-2025,318.12,286.31,99.0,38,41,-3,90.00062869357475,1.0,Transmission_System,0.0,4.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Jammu and Kashmir,2025-08,02-2022,04-2025,318.12,287.31,99.0,38,42,-4,90.3149754809506,1.0,Transmission_System,0.0,5.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Jammu and Kashmir,2025-09,02-2022,04-2025,318.12,308.58,99.0,38,43,-5,97.00113164843455,1.0,Transmission_System,0.0,5.0,1,0
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,Jammu and Kashmir,2025-10,02-2022,04-2025,318.12,317.12,100.0,38,44,-6,99.68565321262417,0.0,Transmission_System,0.0,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Gujarat,2025-07,03-2023,03-2025,1167.55,1013.39,91.0,24,28,-4,86.7962828144405,9.0,Transmission_System,-0.04710719027022008,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Gujarat,2025-08,03-2023,03-2025,1167.55,1050.41,93.0,24,29,-5,89.96702496681085,7.0,Transmission_System,-0.04710719027022008,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Gujarat,2025-09,03-2023,03-2025,1167.55,1105.5,94.0,24,30,-6,94.68545244315018,6.0,Transmission_System,-0.04710719027022008,7.0,1,0
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Gujarat,2025-10,03-2023,03-2025,1167.55,1147.74,97.0,24,31,-7,98.30328465590338,3.0,Transmission_System,-0.04710719027022008,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-07,03-2023,03-2025,2820.99,2454.26,84.0,24,28,-4,86.99995391688735,16.0,Transmission_System,0.0,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-08,03-2023,03-2025,2820.99,2570.25,84.0,24,29,-5,91.11163102315145,16.0,Transmission_System,0.0,8.0,1,0
